surrogate,alpha,arm,horizon,seed,n_samples,rel_welfare_loss,gain_estimator_err,max_min_ratio,bundle_envy,outcome_envy,mean_outcome,law_predicted_loss
strong,1.0,persistence,8,2,192,0.0,nan,0.6708571542233678,0.0,0.4163620248938759,0.10912077438555882,nan
strong,1.0,learned,8,2,192,-4.473078017361298e-09,nan,0.6708494711899577,5.257874702155915e-05,0.4163706301181192,0.10912079564911363,nan
strong,1.0,learned_robust,8,2,192,-4.647875271578579e-09,nan,0.6708494525749938,5.248033728142798e-05,0.4163705937685922,0.10912079535614272,nan
strong,2.0,plugin,8,0,192,3.2460897764294977e-06,0.0021201305965775703,0.8127649873661257,0.2141368705701515,0.21146588837313293,0.10843456333021347,3.2460948571863447e-06
strong,2.0,shrunk,8,0,192,3.2460897764294977e-06,0.0021201305965775703,0.8127649873661257,0.2141368705701515,0.21146588837313293,0.10843456333021347,nan
strong,2.0,smoothed,8,0,192,9.755291457221385e-06,0.0040008359323534986,0.8076066364337039,0.20707337149159163,0.21803657730665857,0.10845661657814303,nan
strong,2.0,uniform,8,0,192,0.004194374594744568,0.09044670223399691,0.6708571542233678,0.0,0.4163620248938759,0.10912077438555882,nan
strong,2.0,persistence,8,0,192,0.004611224627289943,0.09983239226403164,0.6989472041558482,0.21460048328965878,0.3630212256117134,0.10873829680543663,nan
strong,2.0,learned,8,0,192,1.602043614753676e-05,0.004667067164365852,0.8128950405099543,0.21493906024209122,0.21114196827792084,0.10843038961623393,nan
strong,2.0,learned_robust,8,0,192,1.5456190078940352e-05,0.004530819071369756,0.8135752225188168,0.21594329369539844,0.21018078002499915,0.10842597113804181,nan
strong,2.0,plugin,8,1,192,3.2460897764294977e-06,0.0021201305965775703,0.8127649873661257,0.2141368705701515,0.21146588837313293,0.10843456333021347,3.2460948571863447e-06
strong,2.0,shrunk,8,1,192,3.2460897764294977e-06,0.0021201305965775703,0.8127649873661257,0.2141368705701515,0.21146588837313293,0.10843456333021347,nan
strong,2.0,smoothed,8,1,192,9.755291457221385e-06,0.0040008359323534986,0.8076066364337039,0.20707337149159163,0.21803657730665857,0.10845661657814303,nan
strong,2.0,uniform,8,1,192,0.004194374594744568,0.09044670223399691,0.6708571542233678,0.0,0.4163620248938759,0.10912077438555882,nan
strong,2.0,persistence,8,1,192,0.004611224627289943,0.09983239226403164,0.6989472041558482,0.21460048328965878,0.3630212256117134,0.10873829680543663,nan
strong,2.0,learned,8,1,192,2.22788667531409e-05,0.00562609694047479,0.8128258285731457,0.21455429477260055,0.21121669508517127,0.10843014829315926,nan
strong,2.0,learned_robust,8,1,192,2.1697347482492354e-05,0.0055567623786898016,0.8138156912586113,0.21604855606376602,0.20985661775253617,0.10842455857810268,nan
