scenario,field,regime,coverage_nominal_pct,modes,coverage_actual_pct,n_obs,n_dof,obs_per_dof,n_modes_constrained,constrained_frac,best_rcond,rcond_spread,n_masks,vrmse,vrmse_sd,vrmse_oracle,sparsity_penalty,sparsity_penalty_sd
spots,B,grid,10.0,16,11.02294921875,1806,1089,1.6584022038567494,1089,1.0,1e-06,0.0,3,0.280829196212641,0.0024933862677541585,0.2615385291886721,0.019290667023968883,0.0024933862677541585
worms,A,grid,10.0,16,11.02294921875,1806,1089,1.6584022038567494,1089,1.0,1e-06,0.0,3,0.24900881516689835,0.00320671848693612,0.2365762019631167,0.01243261320378164,0.00320671848693612
worms,B,grid,10.0,16,11.02294921875,1806,1089,1.6584022038567494,1089,1.0,1e-06,0.0,3,0.35869756994508034,0.004476264636649849,0.3351919345254527,0.023505635419627673,0.004476264636649849
bubbles,A,grid,5.0,16,6.25,1024,1089,0.9403122130394858,1024,0.9403122130394858,1e-06,0.0,3,0.35660212619413595,0.0030183896658045905,0.2434478710403647,0.1131542551537713,0.0030183896658045905
bubbles,B,grid,5.0,16,6.25,1024,1089,0.9403122130394858,1024,0.9403122130394858,1e-06,0.0,3,0.4702630466296624,0.0032356999533124054,0.3233261695706953,0.1469368770589671,0.0032356999533124054
gliders,A,grid,5.0,16,6.25,1024,1089,0.9403122130394858,1024,0.9403122130394858,1e-06,0.0,3,0.15245856793064338,0.0007808853788591672,0.10261035442513168,0.0498482135055117,0.0007808853788591672
gliders,B,grid,5.0,16,6.25,1024,1089,0.9403122130394858,1024,0.9403122130394858,1e-06,0.0,3,0.35824783925384507,0.0014055561695620524,0.2460299144705538,0.11221792478329125,0.0014055561695620524
maze,A,grid,5.0,16,6.25,1024,1089,0.9403122130394858,1024,0.9403122130394858,1e-06,0.0,3,0.33250411822285303,0.0021697915689472378,0.19757140485628003,0.13493271336657298,0.002169791568947238
maze,B,grid,5.0,16,6.25,1024,1089,0.9403122130394858,1024,0.9403122130394858,1e-06,0.0,3,0.3951950882682278,0.0019371380155681166,0.24253495583884688,0.15266013242938095,0.0019371380155681166
spirals,A,grid,5.0,16,6.25,1024,1089,0.9403122130394858,1024,0.9403122130394858,1e-06,0.0,3,0.1940256049907841,0.0008339280173994699,0.1310432304778304,0.0629823745129537,0.0008339280173994699
spirals,B,grid,5.0,16,6.25,1024,1089,0.9403122130394858,1024,0.9403122130394858,1e-06,0.0,3,0.4141233355899982,0.0015352433623206433,0.28376586866410064,0.1303574669258975,0.0015352433623206433
spots,A,grid,5.0,16,6.25,1024,1089,0.9403122130394858,1024,0.9403122130394858,1e-06,0.0,3,0.34734531621539594,0.0035522403365777174,0.20374030409797217,0.1436050121174238,0.0035522403365777174
spots,B,grid,5.0,16,6.25,1024,1089,0.9403122130394858,1024,0.9403122130394858,1e-06,0.0,3,0.42388651441015507,0.0037640554089030595,0.2615385291886721,0.16234798522148292,0.0037640554089030595
worms,A,grid,5.0,16,6.25,1024,1089,0.9403122130394858,1024,0.9403122130394858,1e-06,0.0,3,0.35090254744358246,0.0006113690384975976,0.2365762019631167,0.11432634548046572,0.0006113690384975976
worms,B,grid,5.0,16,6.25,1024,1089,0.9403122130394858,1024,0.9403122130394858,1e-06,0.0,3,0.4900921751053052,0.0008835519361290316,0.3351919345254527,0.1549002405798525,0.0008835519361290316
bubbles,A,grid,2.0,16,1.9775390625,324,1089,0.2975206611570248,324,0.2975206611570248,1e-06,0.0,3,1.2522620154064101,0.03397905004586735,0.2434478710403647,1.0088141443660454,0.03397905004586735
bubbles,B,grid,2.0,16,1.9775390625,324,1089,0.2975206611570248,324,0.2975206611570248,1e-06,0.0,3,0.8483039755392588,0.0025990112461771364,0.3233261695706953,0.5249778059685636,0.002599011246177188
gliders,A,grid,2.0,16,1.9775390625,324,1089,0.2975206611570248,324,0.2975206611570248,1e-06,0.0,3,0.924663916736816,0.014925528298729894,0.10261035442513168,0.8220535623116844,0.014925528298729894
gliders,B,grid,2.0,16,1.9775390625,324,1089,0.2975206611570248,324,0.2975206611570248,1e-06,0.0,3,0.8619500910853088,0.005656457555813819,0.2460299144705538,0.615920176614755,0.005656457555813819
maze,A,grid,2.0,16,1.9775390625,324,1089,0.2975206611570248,324,0.2975206611570248,1e-06,0.0,3,0.9616970457478433,0.007603217639025774,0.19757140485628003,0.7641256408915633,0.007603217639025774
maze,B,grid,2.0,16,1.9775390625,324,1089,0.2975206611570248,324,0.2975206611570248,1e-06,0.0,3,0.9049865361081156,0.0006159217096208768,0.24253495583884688,0.6624515802692686,0.0006159217096208768
spirals,A,grid,2.0,16,1.9775390625,324,1089,0.2975206611570248,324,0.2975206611570248,1e-06,0.0,3,0.8602610714637188,0.011962766208545831,0.1310432304778304,0.7292178409858883,0.011962766208545831
spirals,B,grid,2.0,16,1.9775390625,324,1089,0.2975206611570248,324,0.2975206611570248,1e-06,0.0,3,0.8381593540586314,0.00024206977494958896,0.28376586866410064,0.5543934853945308,0.00024206977494958896
spots,A,grid,2.0,16,1.9775390625,324,1089,0.2975206611570248,324,0.2975206611570248,1e-06,0.0,3,0.9946565178781253,0.010889369528998908,0.20374030409797217,0.790916213780153,0.010889369528998908
spots,B,grid,2.0,16,1.9775390625,324,1089,0.2975206611570248,324,0.2975206611570248,1e-06,0.0,3,0.8874990920587823,0.003570666535036352,0.2615385291886721,0.6259605628701101,0.003570666535036332
worms,A,grid,2.0,16,1.9775390625,324,1089,0.2975206611570248,324,0.2975206611570248,1e-06,0.0,3,0.934843244187924,0.015861467954916178,0.2365762019631167,0.6982670422248073,0.015861467954916178
worms,B,grid,2.0,16,1.9775390625,324,1089,0.2975206611570248,324,0.2975206611570248,1e-06,0.0,3,0.8774280785036909,0.006659827252567302,0.3351919345254527,0.5422361439782382,0.006659827252567302
bubbles,A,grid,1.0,16,1.031494140625,169,1089,0.155188246097337,169,0.155188246097337,1e-06,0.0,3,6.405830366379081,0.002230183101741152,0.2434478710403647,6.162382495338715,0.002230183101741152
bubbles,B,grid,1.0,16,1.031494140625,169,1089,0.155188246097337,169,0.155188246097337,1e-06,0.0,3,0.9600793036651902,0.0026874357924513105,0.3233261695706953,0.6367531340944949,0.002687435792451329
gliders,A,grid,1.0,16,1.031494140625,169,1089,0.155188246097337,169,0.155188246097337,1e-06,0.0,3,3.373288388037313,0.0006223503207584831,0.10261035442513168,3.2706780336121817,0.0006223503207584831
gliders,B,grid,1.0,16,1.031494140625,169,1089,0.155188246097337,169,0.155188246097337,1e-06,0.0,3,1.038523853904394,0.0016345645477182475,0.2460299144705538,0.7924939394338403,0.0016345645477182475
maze,A,grid,1.0,16,1.031494140625,169,1089,0.155188246097337,169,0.155188246097337,1e-06,0.0,3,3.129305184966737,0.0015906778460275492,0.19757140485628003,2.931733780110457,0.0015906778460275492
maze,B,grid,1.0,16,1.031494140625,169,1089,0.155188246097337,169,0.155188246097337,1e-06,0.0,3,1.7039061182771782,0.0035064955842147613,0.24253495583884688,1.4613711624383312,0.00350649558421481
spirals,A,grid,1.0,16,1.031494140625,169,1089,0.155188246097337,169,0.155188246097337,1e-06,0.0,3,2.4514278565004175,0.0028839201938260744,0.1310432304778304,2.320384626022587,0.0028839201938262774
spirals,B,grid,1.0,16,1.031494140625,169,1089,0.155188246097337,169,0.155188246097337,1e-06,0.0,3,1.2237459626493687,0.002338935579474023,0.28376586866410064,0.9399800939852682,0.002338935579474023
spots,A,grid,1.0,16,1.031494140625,169,1089,0.155188246097337,169,0.155188246097337,1e-06,0.0,3,3.4046672061409446,0.0005765586352574542,0.20374030409797217,3.2009269020429727,0.0005765586352574542
spots,B,grid,1.0,16,1.031494140625,169,1089,0.155188246097337,169,0.155188246097337,1e-06,0.0,3,1.2475536773294416,0.0034853005590653506,0.2615385291886721,0.9860151481407696,0.0034853005590653506
worms,A,grid,1.0,16,1.031494140625,169,1089,0.155188246097337,169,0.155188246097337,1e-06,0.0,3,3.1216796929103308,0.004519713165611525,0.2365762019631167,2.8851034909472144,0.004519713165611524
worms,B,grid,1.0,16,1.031494140625,169,1089,0.155188246097337,169,0.155188246097337,1e-06,0.0,3,1.1452087606495034,0.001986731342420209,0.3351919345254527,0.8100168261240506,0.001986731342420209
bubbles,A,random,50.0,16,50.0,8192,1089,7.522497704315886,1089,1.0,1e-06,0.0,3,0.2546718483213686,0.00038148141165889445,0.2434478710403647,0.011223977281003883,0.00038148141165889445
bubbles,B,random,50.0,16,50.0,8192,1089,7.522497704315886,1089,1.0,1e-06,0.0,3,0.33817787415043393,0.0004988950621996443,0.3233261695706953,0.014851704579738612,0.0004988950621996443
gliders,A,random,50.0,16,50.0,8192,1089,7.522497704315886,1089,1.0,1e-06,0.0,3,0.10715901939244177,6.345398870990342e-05,0.10261035442513168,0.004548664967310073,6.345398870990342e-05
gliders,B,random,50.0,16,50.0,8192,1089,7.522497704315886,1089,1.0,1e-06,0.0,3,0.25678362360865487,0.0002534881262698694,0.2460299144705538,0.01075370913810104,0.0002534881262698694
maze,A,random,50.0,16,50.0,8192,1089,7.522497704315886,1089,1.0,1e-06,0.0,3,0.20683666996181618,0.0002923181189500178,0.19757140485628003,0.009265265105536139,0.0002923181189500178
maze,B,random,50.0,16,50.0,8192,1089,7.522497704315886,1089,1.0,1e-06,0.0,3,0.2538324444042017,0.00030185005727820886,0.24253495583884688,0.011297488565354822,0.00030185005727820886
spirals,A,random,50.0,16,50.0,8192,1089,7.522497704315886,1089,1.0,1e-06,0.0,3,0.1369956313893165,0.00028166046453694785,0.1310432304778304,0.005952400911486105,0.00028166046453694785
