surrogate,alpha,arm,horizon,seed,n_samples,rel_welfare_loss,gain_estimator_err,max_min_ratio,bundle_envy,outcome_envy,mean_outcome,law_predicted_loss
strong,4.0,learned_robust,8,1,192,8.24852586728293e-05,0.005134524847125103,0.8975534749027493,0.3232024922450119,0.10884931348164362,0.1080838819817243,nan
strong,4.0,plugin,16,1,144,7.114917281037202e-05,0.004410729268143124,0.9066845104842256,0.28718825597794334,0.09912840201257696,0.11322611027817614,7.2197898710112e-05
strong,4.0,shrunk,16,1,144,7.114917281037202e-05,0.004410729268143124,0.9066845104842256,0.28718825597794334,0.09912840201257696,0.11322611027817614,nan
strong,4.0,smoothed,16,1,144,8.744174260475145e-05,0.005531298950549386,0.8994956160413877,0.27801196461872935,0.10726094207962117,0.11325170689737801,nan
strong,4.0,uniform,16,1,144,0.01588337505303136,0.07803515060321732,0.705505047151115,0.0,0.3613191877089655,0.11404360715965765,nan
strong,4.0,persistence,16,1,144,0.0564320111478208,0.17177996018659775,0.5174499020658635,0.3459038174354797,0.654843785314974,0.1146007574801081,nan
strong,4.0,learned,16,1,144,0.0001067024031089222,0.005992209871112415,0.9038204664693011,0.2817635592362777,0.10234036415865615,0.11323739780043164,nan
strong,4.0,learned_robust,16,1,144,9.536524373586563e-05,0.005564831655503463,0.9050069166987181,0.28301455306872814,0.10092481849603635,0.11323247666779686,nan
strong,4.0,plugin,1,2,240,3.0105813369272576e-06,0.0009877984739168411,0.8921569609421288,0.3503295417496665,0.11599112023098734,0.09527243265928108,3.0087333147608004e-06
strong,4.0,shrunk,1,2,240,3.0105813369272576e-06,0.0009877984739168411,0.8921569609421288,0.3503295417496665,0.11599112023098734,0.09527243265928108,nan
strong,4.0,smoothed,1,2,240,3.738769913148125e-05,0.0038230424108309704,0.8824533791985537,0.33922171503690923,0.12724958061433972,0.09530605005891675,nan
strong,4.0,uniform,1,2,240,0.02119681839083425,0.10205577406303998,0.6444972487946347,0.0,0.47111283347883304,0.09633997139743694,nan
strong,4.0,persistence,1,2,240,0.000623705830339182,0.01590770101443319,0.8811201230864363,0.3508662055621983,0.12915604562469174,0.09527670726655563,nan
strong,4.0,learned,1,2,240,0.0001859597518880568,0.0073557386332421355,0.8850523677437935,0.3463656980706763,0.12458430242769912,0.09528392045836706,nan
strong,4.0,learned_robust,1,2,240,0.00020250448754692145,0.0076045826213593775,0.886099468925263,0.34776817596411136,0.12325120776966893,0.09527507800729193,nan
strong,4.0,plugin,2,2,228,8.073888753677144e-06,0.0015776841459994304,0.8921923334807382,0.35056265653374213,0.11580213297033842,0.09827455066377953,8.061417152221538e-06
strong,4.0,shrunk,2,2,228,8.073888753677144e-06,0.0015776841459994304,0.8921923334807382,0.35056265653374213,0.11580213297033842,0.09827455066377953,nan
strong,4.0,smoothed,2,2,228,4.123160511613484e-05,0.003972883330916259,0.8825878051788646,0.33939669284224006,0.12690263756487752,0.09830898890345773,nan
