ky,kx,radius,rel_norm_diff,analytic_lead_magnitude,empirical_lead_magnitude,log_magnitude_gap,arm
-4,1,4.123105625617661,0.2556194835886919,0.7174978278243684,0.9326063431185949,-0.2622132656869433,rotating
-4,2,4.47213595499958,0.2558818922137552,0.7091209969442508,0.9228695146320752,-0.26346168301238027,rotating
-4,3,5.0,0.2563359985888058,0.6947633914081843,0.9054248631136378,-0.26483295195756523,rotating
-4,4,5.656854249492381,0.2567180754793231,0.6778163787616768,0.8829127967131136,-0.2643500142829863,rotating
-3,0,3.0,0.2571212194609422,0.7488288519745205,0.9642357213815321,-0.2528253336041008,rotating
-3,1,3.1622776601683795,0.25531301465337897,0.739517116621967,0.9592248272819192,-0.26012805860722926,rotating
-3,2,3.605551275463989,0.2555172069418785,0.7281561699502104,0.9469120680215457,-0.26269069132389034,rotating
-3,3,4.242640687119285,0.2558352352805966,0.7146932711182816,0.930229790701053,-0.2635781831938266,rotating
-3,4,5.0,0.2561694482221536,0.696405448520892,0.90672757597537,-0.2639100160485146,rotating
-3,5,5.830951894845301,0.25702512486449236,0.6712443933007274,0.8754513279421466,-0.26560626357566297,rotating
-2,0,2.0,0.2576892168248207,0.7709048421644585,0.9823304750787816,-0.24236283977771544,rotating
-2,1,2.23606797749979,0.25519350412708536,0.7545193287110555,0.9774969767538897,-0.258914303232775,rotating
-2,2,2.8284271247461903,0.25540805379069054,0.7446189132803945,0.9655298886682189,-0.2598044963553961,rotating
-2,3,3.605551275463989,0.2554415675939383,0.730287726505286,0.9484936627080283,-0.26143650558454273,rotating
-2,4,4.47213595499958,0.25604381157471306,0.7097679119810434,0.9230809358475807,-0.2627788864041397,rotating
-2,5,5.385164807134504,0.2563878621258283,0.6841477222548374,0.892105234407678,-0.265410238901173,rotating
-1,0,1.0,0.25707933187019527,0.7836621815905944,0.9926154483895068,-0.23636528993012373,rotating
-1,1,1.4142135623730951,0.25452083711070206,0.7661688697964235,0.9890233645691515,-0.25531535368474007,rotating
-1,2,2.23606797749979,0.25474451436803086,0.7555864553349795,0.9780126430100998,-0.25802838760583574,rotating
-1,3,3.1622776601683795,0.25476331242312417,0.7390551578778844,0.9594484110518887,-0.2609859908127006,rotating
-1,4,4.123105625617661,0.25576554059605955,0.7189682912055593,0.933656598918518,-0.26129144800737286,rotating
-1,5,5.0990195135927845,0.25612355027524186,0.6923850900035975,0.902466403755908,-0.26498917447901327,rotating
0,0,0.0,0.4760333638722836,0.5208221257052131,0.9929738898645155,-0.6452957954396991,advection
0,1,1.0,0.4758485687262931,0.5229249769733368,0.9976392904134563,-0.645953772221935,advection
0,2,2.0,0.47631978466046565,0.5218961041980791,0.9965823247873101,-0.6468632162071664,advection
0,3,3.0,0.47652672087873993,0.520615152175035,0.994418348689285,-0.6471468946947454,advection
0,4,4.0,0.4761695381019032,0.51948335598446,0.9913418120640092,-0.6462246196732703,advection
