arm,ky,kx,radius,extracted_magnitude,extracted_freq,extracted_sigma,label,exact_magnitude,exact_freq,magnitude_error,freq_error
advection,3,5,5.830951894845301,0.9825115941542629,0.07697850408321366,-0.0176431346424316,damped,0.9869774682350012,0.078125,-0.004465874080738286,-0.0011464959167863387
advection,4,0,4.0,0.9974126529616393,0.00042751823317078633,-0.002590700005484272,primary,0.9938504834036374,0.0,0.0035621695580019264,0.00042751823317078633
advection,4,1,4.123105625617661,0.9888156209120733,0.01601715158676786,-0.01124739455552483,damped,0.9934673966643301,0.015625,-0.004651775752256837,0.0003921515867678603
advection,4,2,4.47213595499958,0.9925664296376524,0.03241196383144129,-0.00746133703577414,damped,0.9923190221998122,0.031249999999999997,0.00024740743784024133,0.0011619638314412963
advection,4,3,5.0,0.9870227917913116,0.04607362344481235,-0.01306214782812684,damped,0.9904080138578515,0.04687499999999999,-0.0033852220665399058,-0.0008013765551876453
advection,4,4,5.656854249492381,0.9854864928981054,0.061672310876984736,-0.01461985831981218,damped,0.9877387833616438,0.06250000000000001,-0.0022522904635383645,-0.000827689123015278
advection,5,0,5.0,0.9829040317142791,1.2321353826809436e-06,-0.017243791561948992,damped,0.9904080138578515,0.0,-0.007503982143572396,1.2321353826809436e-06
advection,5,1,5.0990195135927845,0.9887729515354141,0.015935785667087653,-0.011290547491641378,damped,0.990026254042921,0.015625,-0.0012533025075068815,0.0003107856670876534
advection,5,2,5.385164807134504,0.9923440665202514,0.03162400628464575,-0.007685390582532663,damped,0.9888818572834879,0.03125,0.003462209236763547,0.0003740062846457476
advection,5,3,5.830951894845301,0.9810860392820921,0.0471143477842997,-0.01909511757248708,damped,0.9869774682350012,0.046875,-0.005891428952909061,0.00023934778429970244
advection,6,0,6.0,0.9501001388420072,0.0002143527527743004,-0.051187890635345235,damped,0.9862167399039081,0.0,-0.036116601061900955,0.0002143527527743004
lambda,-6,0,6.0,0.9066924472216682,6.718710504538719e-07,-0.09795197432879119,damped,,,,
lambda,-5,0,5.0,0.906749213067483,4.7328647958180144e-05,-0.09788936868001138,damped,,,,
lambda,-5,1,5.0990195135927845,0.9066890887746499,1.121354780242348e-07,-0.09795567839983373,damped,,,,
